Date,Open,High,Low,Close,Adj Close,Volume,Div
08/04/2022,157.539993,158.809998,154.630005,154.75,154.75,235500,
11/04/2022,153.740005,156,151.300003,152.089996,152.089996,252300,
12/04/2022,152.889999,155.820007,148.839996,149.869995,149.869995,596800,
13/04/2022,151.360001,153,148.179993,152.770004,152.770004,587800,
14/04/2022,153.399994,154.839996,148.559998,148.720001,148.720001,259400,
18/04/2022,148.720001,150.389999,146.869995,149.610001,149.610001,211500,
19/04/2022,149.190002,152.779999,149.190002,152.300003,152.300003,208200,
20/04/2022,154.089996,155.75,152.619995,153.309998,153.309998,191600,
21/04/2022,156.389999,156.679993,148.889999,149.699997,149.699997,239200,
22/04/2022,149.699997,149.720001,145.960007,146.259995,146.259995,236100,
25/04/2022,145.259995,147.320007,143.289993,147.139999,147.139999,285600,
26/04/2022,146.029999,146.679993,142.009995,142.059998,142.059998,245700,
27/04/2022,142.020004,144.380005,140.529999,141.710007,141.710007,330200,
28/04/2022,143.539993,145.25,139.720001,143.630005,143.630005,280000,
29/04/2022,142,144.699997,138.589996,139.279999,139.279999,254300,
